Date,Open,High,Low,Close,Volume,Adj Close
2013-07-05,21.40,21.80,20.30,20.55,3995200,20.55
2013-07-04,22.15,22.25,20.65,21.20,5987400,21.20
2013-07-03,20.90,22.65,19.80,21.50,12210800,21.50
2013-07-02,19.70,21.30,19.68,20.95,9668100,20.95
2013-07-01,19.36,19.36,19.36,19.36,000,19.36
2013-06-28,18.52,19.58,18.52,19.36,6574900,19.36
2013-06-27,18.80,19.00,18.38,18.40,3831300,18.40
2013-06-26,18.26,18.82,17.76,18.60,5737000,18.60
2013-06-25,16.50,17.88,15.60,17.86,8913000,17.86
2013-06-24,18.80,18.90,16.60,16.66,8250800,16.66
2013-06-21,17.96,18.86,17.90,18.80,4784500,18.80
2013-06-20,18.88,19.20,18.36,18.48,3423000,18.48
2013-06-19,19.50,19.50,18.76,19.00,2353500,19.00
2013-06-18,19.02,19.74,18.92,19.28,4073000,19.28
2013-06-17,17.98,19.56,17.80,18.92,8101500,18.92
2013-06-14,18.66,18.88,17.54,17.64,7535400,17.64
2013-06-13,19.00,19.28,17.80,18.44,7422500,18.44
2013-06-12,19.28,19.28,19.28,19.28,000,19.28
2013-06-11,19.46,20.05,18.94,19.28,6572500,19.28
2013-06-10,18.32,19.88,18.32,19.10,6802700,19.10
2013-06-07,18.60,19.08,18.14,18.32,3510500,18.32
2013-06-06,18.36,18.64,17.80,18.52,3613100,18.52
2013-06-05,18.92,19.16,17.88,18.38,6126500,18.38
2013-06-04,17.50,19.00,17.36,18.84,11419800,18.84
2013-06-03,18.20,18.28,16.92,17.18,6962000,17.18
2013-05-31,17.88,18.18,17.50,18.00,5992200,18.00
2013-05-30,16.50,17.96,16.46,17.60,5612100,17.60
2013-05-29,16.88,17.04,16.38,16.60,4131200,16.60
2013-05-28,16.20,17.32,16.00,16.66,5492000,16.66
2013-05-27,15.32,17.08,15.02,16.48,12122700,16.28
2013-05-24,13.10,15.38,13.10,15.32,6813500,14.94
2013-05-23,13.92,14.00,12.96,13.06,5101500,12.73
2013-05-22,14.40,14.50,13.40,13.92,2713000,13.57
2013-05-21,14.30,14.80,14.30,14.30,3159000,13.94
2013-05-20,14.16,14.62,14.16,14.28,2945000,13.92
2013-05-17,14.14,14.14,14.14,14.14,000,13.79
2013-05-16,14.78,14.88,13.76,14.14,2961000,13.79
2013-05-15,14.20,14.80,14.20,14.66,3225700,14.29
2013-05-14,14.00,14.80,13.88,14.20,5323100,13.84
2013-05-13,12.58,13.92,12.48,13.80,6570000,13.45
2013-05-10,12.62,12.68,12.18,12.58,1344500,12.27
2013-05-09,12.20,12.66,12.06,12.62,2242000,12.30
2013-05-08,12.38,12.78,11.98,12.16,3378500,11.86
2013-05-07,11.58,12.38,11.52,12.22,3207500,11.91
2013-05-06,11.50,11.70,11.40,11.50,627000,11.21
2013-05-03,11.70,11.76,11.48,11.50,689500,11.21
2013-05-02,11.40,11.66,11.24,11.60,1059000,11.31
2013-05-01,11.40,11.40,11.40,11.40,000,11.11
2013-04-30,11.22,11.78,11.22,11.40,869000,11.11
2013-04-29,11.48,11.54,11.24,11.28,493000,11.00
2013-04-26,11.86,11.98,10.90,11.30,3237000,11.02
2013-04-25,11.90,12.00,11.74,11.86,651000,11.56
2013-04-24,11.70,12.12,11.60,11.90,3041500,11.60
2013-04-23,11.76,11.78,11.44,11.70,1000900,11.41
2013-04-22,11.28,11.84,11.04,11.76,3834400,11.47
2013-04-19,11.50,11.74,11.24,11.28,1905000,11.00
2013-04-18,11.16,11.78,11.10,11.54,4269500,11.25
2013-04-17,11.10,11.30,11.00,11.16,1177000,10.88
2013-04-16,11.00,11.24,10.92,11.10,1799000,10.82
2013-04-15,11.16,11.42,10.90,11.26,1524700,10.98
2013-04-12,10.96,11.58,10.92,11.20,2553500,10.92
2013-04-11,10.74,11.52,10.60,11.08,5090500,10.80
2013-04-10,11.00,11.14,10.42,10.68,4861400,10.41
2013-04-09,9.80,10.92,9.79,10.90,6888600,10.63
2013-04-08,9.05,9.41,8.91,9.37,855500,9.14
2013-04-05,9.30,9.30,8.82,9.09,859500,8.86
2013-04-04,9.30,9.30,9.30,9.30,000,9.07
2013-04-03,9.20,9.33,8.83,9.30,688000,9.07
2013-04-02,8.88,9.37,8.86,9.10,778000,8.87
2013-04-01,8.88,8.88,8.88,8.88,000,8.66
2013-03-29,8.88,8.88,8.88,8.88,000,8.66
2013-03-28,9.60,9.60,8.88,8.88,1591800,8.66
2013-03-27,9.39,9.67,9.34,9.46,1456000,9.22
2013-03-26,8.75,9.36,8.65,9.34,1208500,9.11
2013-03-25,8.39,8.80,8.32,8.79,572000,8.57
2013-03-22,8.70,8.70,8.36,8.46,715500,8.25
2013-03-21,8.83,8.86,8.55,8.65,481500,8.43
2013-03-20,8.62,8.96,8.50,8.88,1019000,8.66
2013-03-19,8.54,8.78,8.48,8.54,1135000,8.33
2013-03-18,8.94,8.94,8.25,8.56,992500,8.35
2013-03-15,8.80,9.10,8.80,8.99,1481000,8.76
2013-03-14,9.00,9.01,8.70,8.80,810900,8.58
2013-03-13,8.80,9.17,8.75,9.00,1238500,8.77
2013-03-12,9.51,9.59,8.67,8.85,3537500,8.63
2013-03-11,10.10,10.12,9.53,9.59,2142500,9.35
2013-03-08,10.12,10.28,10.10,10.12,664500,9.87
2013-03-07,10.20,10.28,10.12,10.14,530500,9.89
2013-03-06,10.22,10.38,10.20,10.30,834300,10.04
2013-03-05,10.06,10.30,10.06,10.26,438500,10.00
2013-03-04,10.20,10.24,10.06,10.08,731500,9.83
2013-03-01,10.26,10.40,10.14,10.24,1545500,9.98
2013-02-28,10.46,10.50,10.12,10.24,1319000,9.98
2013-02-27,10.36,10.48,10.28,10.30,658500,10.04
2013-02-26,10.10,10.50,10.10,10.26,1886000,10.00
2013-02-25,11.00,11.00,10.50,10.54,655000,10.28
2013-02-22,10.74,11.08,10.70,11.00,674500,10.72
2013-02-21,11.06,11.06,10.68,10.76,697500,10.49
2013-02-20,11.20,11.20,11.00,11.06,464000,10.78
2013-02-19,11.00,11.40,10.96,11.10,697000,10.82
2013-02-18,11.26,11.28,10.90,11.00,331000,10.72
2013-02-15,11.10,11.28,10.92,11.14,640000,10.86
2013-02-14,10.84,11.24,10.84,11.12,575000,10.84
2013-02-13,10.74,10.74,10.74,10.74,000,10.47
2013-02-12,10.74,10.74,10.74,10.74,000,10.47
2013-02-11,10.74,10.74,10.74,10.74,000,10.47
2013-02-08,10.50,10.82,10.44,10.74,477500,10.47
2013-02-07,10.90,10.98,10.56,10.58,866000,10.32
2013-02-06,10.74,11.00,10.74,10.90,1638500,10.63
2013-02-05,10.02,10.90,10.02,10.74,1775500,10.47
2013-02-04,10.82,11.20,10.32,10.40,5459500,10.14
2013-02-01,10.30,11.38,10.30,11.30,4210900,11.02
2013-01-31,10.30,10.44,10.00,10.38,1559800,10.12
2013-01-30,10.32,10.34,10.24,10.30,1499500,10.04
2013-01-29,10.36,10.40,10.26,10.34,1734500,10.08
2013-01-28,10.26,10.40,10.02,10.36,1465300,10.10
2013-01-25,10.54,10.76,10.20,10.28,1554000,10.02
2013-01-24,10.90,10.96,10.36,10.56,3433500,10.30
2013-01-23,11.00,11.02,10.70,10.86,1173000,10.59
2013-01-22,10.80,10.96,10.40,10.90,2420500,10.63
2013-01-21,10.80,10.94,10.42,10.80,1533000,10.53
