A:"me@CALLFUNCVAR"(CLOSE,1,2,3);
'0777'	网龙	1分钟
日期	开盘	最高	最低	收盘	成交量	成交额	成交笔数	MA1	MA2	MA3	MA4	MA5	MA6
13/07/08 09:31	20.800	20.800	20.650	20.650	131000.00	2722775	0						
13/07/08 09:32	20.700	20.700	20.700	20.700	2000.00	41450	0						
13/07/08 09:33	20.700	20.700	20.700	20.700	29000.00	599150	0						
13/07/08 09:34	20.700	20.750	20.700	20.750	9500.00	196675	0						
13/07/08 09:35	20.700	20.700	20.700	20.700	1000.00	20700	0	20.7					
13/07/08 09:36	20.700	20.700	20.700	20.700	11000.00	227700	0	20.71					
13/07/08 09:37	20.650	20.650	20.650	20.650	4000.00	82600	0	20.7					
13/07/08 09:38	20.650	20.650	20.650	20.650	27500.00	568450	0	20.69					
13/07/08 09:39	20.600	20.600	20.600	20.600	44000.00	908550	0	20.66					
13/07/08 09:40	20.600	20.600	20.600	20.600	11500.00	236900	0	20.64	20.67				
13/07/08 09:41	20.550	20.700	20.550	20.700	65500.00	1352650	0	20.64	20.675				
13/07/08 09:42	20.700	20.700	20.700	20.700	14000.00	290075	0	20.65	20.675				
13/07/08 09:43	20.800	20.800	20.800	20.800	10500.00	218400	0	20.68	20.685				
13/07/08 09:44	20.900	21.200	20.900	21.200	203500.00	4280375	0	20.8	20.73				
13/07/08 09:45	21.250	21.250	21.250	21.250	108000.00	2294800	0	20.93	20.785				
13/07/08 09:46	21.100	21.100	21.100	21.100	105500.00	2232175	0	21.01	20.825				
13/07/08 09:47	20.950	20.950	20.750	20.750	24000.00	502250	0	21.02	20.835				
13/07/08 09:48	20.850	20.850	20.850	20.850	35500.00	737001	0	21.03	20.855				
13/07/08 09:49	20.950	20.950	20.950	20.950	11000.00	230500	0	20.98	20.89				
13/07/08 09:50	20.800	20.800	20.800	20.800	38000.00	796574	0	20.89	20.91	20.79			
13/07/08 09:51	20.850	20.850	20.800	20.800	19500.00	406026	0	20.83	20.92	20.798			
13/07/08 09:52	20.750	20.750	20.750	20.750	6000.00	124600	0	20.83	20.925	20.8			
13/07/08 09:53	20.750	20.750	20.750	20.750	12500.00	259900	0	20.81	20.92	20.802			
13/07/08 09:54	20.800	20.800	20.800	20.800	8000.00	166348	0	20.78	20.88	20.805			
13/07/08 09:55	20.900	20.900	20.900	20.900	35500.00	741276	0	20.8	20.845	20.815			
13/07/08 09:56	20.950	20.950	20.950	20.950	31500.00	659924	0	20.83	20.83	20.827			
13/07/08 09:57	21.000	21.000	21.000	21.000	22500.00	472426	0	20.88	20.855	20.845			
13/07/08 09:58	21.000	21.050	21.000	21.050	68000.00	1429774	0	20.94	20.875	20.865			
13/07/08 09:59	21.050	21.050	21.050	21.050	0.00	0	0	20.99	20.885	20.888			
13/07/08 10:00	21.050	21.050	21.050	21.050	19000.00	400100	0	21.02	20.91	20.91	20.83		
13/07/08 10:01	21.150	21.300	21.150	21.300	103500.00	2194200	0	21.09	20.96	20.94	20.852		
13/07/08 10:02	21.250	21.250	21.250	21.250	36000.00	766452	0	21.14	21.01	20.968	20.87		
13/07/08 10:03	21.300	21.300	21.300	21.300	43500.00	926548	0	21.19	21.065	20.993	20.89		
13/07/08 10:04	21.250	21.250	21.250	21.250	55000.00	1172376	0	21.23	21.11	20.995	20.907		
13/07/08 10:05	21.350	21.350	21.350	21.350	36500.00	778850	0	21.29	21.155	21	20.928		
13/07/08 10:06	21.350	21.350	21.350	21.350	19500.00	416326	0	21.3	21.195	21.013	20.95		
13/07/08 10:07	21.400	21.400	21.400	21.400	31000.00	662248	0	21.33	21.235	21.045	20.975		
13/07/08 10:08	21.400	21.400	21.400	21.400	28500.00	609900	0	21.35	21.27	21.073	21		
13/07/08 10:09	21.350	21.400	21.350	21.400	29000.00	619500	0	21.38	21.305	21.095	21.027		
13/07/08 10:10	21.400	21.400	21.400	21.400	2500.00	53500	0	21.39	21.34	21.125	21.053		
13/07/08 10:11	21.550	21.550	21.550	21.550	52000.00	1116776	0	21.43	21.365	21.163	21.082		
13/07/08 10:12	21.550	21.550	21.500	21.500	179000.00	3864876	0	21.45	21.39	21.2	21.108		
13/07/08 10:13	21.600	21.600	21.600	21.600	53500.00	1156276	0	21.49	21.42	21.243	21.135		
13/07/08 10:14	21.550	21.550	21.550	21.550	7500.00	161624	0	21.52	21.45	21.28	21.147		
13/07/08 10:15	21.400	21.500	21.400	21.500	34500.00	740624	0	21.54	21.465	21.31	21.155		
13/07/08 10:16	21.500	21.500	21.500	21.500	0.00	0	0	21.53	21.48	21.337	21.168		
13/07/08 10:17	21.450	21.450	21.450	21.450	4000.00	85800	0	21.52	21.485	21.36	21.192		
13/07/08 10:18	21.350	21.350	21.350	21.350	28500.00	607248	0	21.47	21.48	21.375	21.208		
13/07/08 10:19	21.250	21.350	21.250	21.350	34500.00	734328	0	21.43	21.475	21.39	21.222		
13/07/08 10:20	21.350	21.350	21.350	21.350	0.00	0	0	21.4	21.47	21.405	21.24		
13/07/08 10:21	21.400	21.400	21.400	21.400	7000.00	149600	0	21.38	21.455	21.41	21.26		
13/07/08 10:22	21.400	21.400	21.350	21.350	44500.00	950872	0	21.36	21.44	21.415	21.28		
13/07/08 10:23	21.350	21.350	21.350	21.350	15000.00	321128	0	21.36	21.415	21.417	21.3		
13/07/08 10:24	21.350	21.350	21.350	21.350	500.00	10672	0	21.36	21.395	21.423	21.318		
